name,power_kw,duration_h,start_earliest,end_latest,priority,category
Buzdolabı,0.15,24,00:00,23:59,critical,critical
WiFi Modem,0.01,24,00:00,23:59,critical,critical
Güvenlik Sistemi,0.05,24,00:00,23:59,critical,critical
Aydınlatma (Ortak),0.3,5,17:00,23:00,critical,critical
Dizüstü Bilgisayar,0.05,8,08:00,22:00,critical,critical
Akıllı TV,0.1,4,18:00,23:00,critical,critical
Su Isıtıcı,2.2,0.25,07:00,23:00,critical,critical
Fırın,3.0,1.5,17:00,20:00,critical,critical
Klima (Yaz/Soğutma),3.0,10,12:00,22:00,critical,critical
Bulaşık Makinesi,1.5,2,18:00,23:00,shiftable,shiftable
Çamaşır Makinesi,0.8,1.5,18:00,22:00,shiftable,shiftable
Kurutma Makinesi,2.5,1,19:00,22:00,shiftable,shiftable
Elektrikli Şofben (Sabah),4.0,1,07:00,09:00,shiftable,shiftable
Elektrikli Şofben (Akşam),4.0,1,20:00,22:00,shiftable,shiftable
Ütü,1.2,0.5,18:00,21:00,shiftable,shiftable
Elektrikli Süpürge,0.9,0.5,09:00,17:00,shiftable,shiftable
Saç Kurutma Makinesi,1.5,0.25,07:00,09:00,shiftable,shiftable
Şarj İstasyonu (Küçük),0.05,6,10:00,18:00,shiftable,shiftable
Oyun Konsolu,0.15,2,16:00,22:00,optional,optional
Masaüstü Bilgisayar,0.2,3,19:00,23:00,optional,optional
Hoparlör,0.05,3,18:00,22:00,optional,optional
Kahve Makinesi,1.0,0.2,07:00,09:00,optional,optional
Mikrodalga,1.0,0.2,18:00,20:00,optional,optional
Havuz Pompası,1.0,4,14:00,18:00,optional,optional
Akıllı Priz (Bekleme),0.02,24,00:00,23:59,optional,optional
